Caption
* Percentage change/share/price not interpretable or not calculable
** Percentage change > 999.9 %
*** Provisional data
1 = Since 2002: including electricity, returned goods and goods for processing without change of ownership
2 = Since 2012 (imports): country of origin instead of country of production
3 = Since 2012: including gold and silver bullions as well as coins  in the general total (total 2)
4 = Since 2013: electricity flows calculated according to a new method

Total trade Total 2
Period [1,2,3,4]	Commercial partner	Import			Export			
		Quantity (kg)	Value (CHF)	Value +/- %	Quantity (kg)	Value (CHF)	Value +/- %	
	                  Samoa	2,987	903,301	**	65	492,177	-44.4	
	                  Sandwich			*	445	18,537	-43.7	
	                  San Marino	137,159	1,758,079	7.0	7,682,544	17,732,500	38.1	
	                  Sao Tomé	114,666	1,718,134	-19.3	23,086	61,598	-82.4	
	                  Saudi Arabia	62,126,982	797,719,063	-6.0	53,756,438	4,808,213,095	110.4	
	                  Senegal	4,757,095	614,900,498	-7.1	2,572,321	21,347,897	-12.6	
	                  Serbia	44,612,759	294,071,919	16.5	75,398,524	520,815,074	36.5	
	                  Seychelles	4,762	435,301	-28.4	48,602	5,250,550	-80.4	
	                  Sierra Leone	482,662	1,417,658	-15.7	530,732	2,526,954	-11.5	
	                  Singapore	12,473,422	4,380,553,938	-5.2	58,767,080	9,874,329,301	33.4	
	                  Slovakia	168,387,005	1,065,092,314	-2.4	55,589,087	734,182,225	7.3	
	                  Slovenia	83,540,152	6,700,626,370	219.2	28,605,563	11,515,504,968	44.1	
	                  Solomon Islands	8,456,140	15,649,789	26.5	3,622	53,476	45.7	
	                  Somalia	4,244	49,293	96.1	176,196	1,264,310	16.2	
	                  South Africa	52,314,206	6,119,532,742	57.2	31,675,084	617,884,139	5.3	
	                  South Sudan	1,075	26,702	**	55,622	587,307	8.1	
	                  Spain	719,353,037	9,094,055,008	9.7	214,187,989	10,159,929,267	-19.5	
	                  Sri Lanka	9,112,374	289,130,418	27.3	872,446	125,849,577	32.0	
	                  St Barthélemy	1,497	557,395	*	4,918	20,978,827	-18.3	
	                  St Kitts	6,236	717,233	77.7	1,917	1,757,239	53.4	
	                  St Lucia	6,984	56,754	44.6	1,730	1,330,342	-18.7	
	                  St Maarten (NL)	0	11,169	-95.3	5,097	14,628,289	-12.8	
	                  St Vincent	1	30,000	-99.3	260	3,686,930	52.0	
	                  Sudan	34,326	128,424	-82.7	398,139	34,546,728	23.3	
	                  Suriname	85,941	1,168,479,009	17.1	63,031	2,057,165	44.6	
	                  Sweden	196,541,598	1,560,955,437	3.5	79,517,993	1,812,151,106	-2.6	
	                  Syria	28,565	590,516	355.2	386,886	14,514,702	219.7	
	                  Taiwan	75,021,355	1,763,236,589	10.2	16,063,759	2,528,324,144	3.5	
	                  Tajikistan	14,210	378,378,309	122.1	161,272	2,775,786	-48.4	
	                  Tanzania	6,350,122	347,718,291	-33.1	952,038	36,236,103	-5.9	
	                  Thailand	82,601,705	3,608,781,361	106.0	33,489,159	6,136,175,255	56.5	
	                  Togo	295,779	1,657,112	47.4	6,725,173	9,990,161	-21.6	
	                  Tonga			*	133	30,203	**	
	                  Trinidad	113,603	635,943	6.6	236,251	6,076,071	-10.9	
	                  Tunisia	7,307,412	239,641,157	7.0	10,821,631	200,272,234	5.6	
	                  Türkiye	245,002,262	2,004,340,955	0.3	129,821,227	12,189,857,648	374.0	
	                  Turkmenistan	1,545	63,894	-38.4	403,133	8,684,908	48.8	
	                  Turks			-100.0	70,701	10,143,377	74.4	
	                  Tuvalu			*	5	7,540	*	
	                  Uganda	11,060,556	28,157,204	33.2	528,656	33,426,043	9.7	
	                  Ukraine	54,832,665	162,268,810	-26.6	31,836,531	360,982,607	-43.6	
	                  United Kingdom	211,630,668	7,865,813,782	-76.4	303,718,832	12,708,406,410	-1.0	
	                  Uruguay	3,335,240	37,059,808	3.2	968,096	143,582,897	5.7	
