Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, annual crop, KE",,2.54279070,m2a,,2.54E-15,m2a
Raw,(unspecified),"Occupation, annual crop, KG",,8.95730256,m2a,,8.96E-16,m2a
Raw,(unspecified),"Occupation, annual crop, KH",,3.46653453,m2a,,3.47E-15,m2a
Raw,(unspecified),"Occupation, annual crop, KI",,2.14784702,m2a,,2.14785E-13,m2a
Raw,(unspecified),"Occupation, annual crop, KM",,2.46254644,m2a,,2.46E-13,m2a
Raw,(unspecified),"Occupation, annual crop, KN",,1.92723799,m2a,,1.93E-13,m2a
Raw,(unspecified),"Occupation, annual crop, KP",,7.20546234,m2a,,7.21E-16,m2a
Raw,(unspecified),"Occupation, annual crop, KR",,1.59497950,m2a,,1.59E-15,m2a
Raw,(unspecified),"Occupation, annual crop, KW",,1.03127499,m2a,,1.03E-16,m2a
Raw,(unspecified),"Occupation, annual crop, KY",,1.97100387,m2a,,1.97E-14,m2a
Raw,(unspecified),"Occupation, annual crop, KZ",,2.00687998,m2a,,2.01E-16,m2a
Raw,(unspecified),"Occupation, annual crop, LA",,6.09668183,m2a,,6.10E-15,m2a
Raw,(unspecified),"Occupation, annual crop, LB",,5.03066493,m2a,,5.03E-15,m2a
Raw,(unspecified),"Occupation, annual crop, LC",,2.82995665,m2a,,2.83E-13,m2a
Raw,(unspecified),"Occupation, annual crop, LI",,1.87482016,m2a,,1.87E-15,m2a
Raw,(unspecified),"Occupation, annual crop, LK",,4.65044731,m2a,,4.65E-14,m2a
Raw,(unspecified),"Occupation, annual crop, LR",,6.05989326,m2a,,6.06E-15,m2a
Raw,(unspecified),"Occupation, annual crop, LS",,3.92270598,m2a,,3.92E-15,m2a
Raw,(unspecified),"Occupation, annual crop, LT",,1.20569066,m2a,,1.21E-16,m2a
Raw,(unspecified),"Occupation, annual crop, LU",,2.08113533,m2a,,2.08E-16,m2a
Raw,(unspecified),"Occupation, annual crop, LV",,9.88720138,m2a,,9.89E-17,m2a
Raw,(unspecified),"Occupation, annual crop, LY",,5.87062535,m2a,,5.87E-17,m2a
Raw,(unspecified),"Occupation, annual crop, MA",,1.20313926,m2a,,1.20E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MC",,4.13659120,m2a,,4.14E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MD",,1.56971861,m2a,,1.57E-16,m2a
Raw,(unspecified),"Occupation, annual crop, ME",,3.51138020,m2a,,3.51E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MG",,1.87064634,m2a,,1.87E-14,m2a
Raw,(unspecified),"Occupation, annual crop, MH",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MK",,2.33845676,m2a,,2.34E-15,m2a
Raw,(unspecified),"Occupation, annual crop, ML",,1.93371972,m2a,,1.93E-16,m2a
Raw,(unspecified),"Occupation, annual crop, MM",,4.25766731,m2a,,4.26E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MN",,1.56571378,m2a,,1.57E-16,m2a
Raw,(unspecified),"Occupation, annual crop, MO",,3.89860699,m2a,,3.90E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MP",,4.46973548,m2a,,4.47E-13,m2a
Raw,(unspecified),"Occupation, annual crop, MQ",,3.06421472,m2a,,3.06E-13,m2a
Raw,(unspecified),"Occupation, annual crop, MR",,1.12227532,m2a,,1.12E-16,m2a
Raw,(unspecified),"Occupation, annual crop, MS",,2.89794293,m2a,,2.90E-13,m2a
Raw,(unspecified),"Occupation, annual crop, MT",,7.46270682,m2a,,7.46E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MU",,9.02588033,m2a,,9.03E-14,m2a
Raw,(unspecified),"Occupation, annual crop, MV",,3.23697014,m2a,,3.24E-13,m2a
Raw,(unspecified),"Occupation, annual crop, MW",,3.06617338,m2a,,3.07E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MX",,9.20862620,m2a,,9.21E-15,m2a
Raw,(unspecified),"Occupation, annual crop, MY",,1.28436941,m2a,,1.28E-14,m2a
Raw,(unspecified),"Occupation, annual crop, MZ",,1.29935459,m2a,,1.30E-15,m2a
Raw,(unspecified),"Occupation, annual crop, NA",,9.09137808,m2a,,9.09E-16,m2a
Raw,(unspecified),"Occupation, annual crop, NC",,4.32809290,m2a,,4.33E-14,m2a
Raw,(unspecified),"Occupation, annual crop, NE",,1.33273729,m2a,,1.33E-16,m2a
Raw,(unspecified),"Occupation, annual crop, NF",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, NG",,1.79634149,m2a,,1.80E-15,m2a
Raw,(unspecified),"Occupation, annual crop, NI",,1.49984790,m2a,,1.50E-14,m2a
Raw,(unspecified),"Occupation, annual crop, NL",,2.12010763,m2a,,2.12E-16,m2a
Raw,(unspecified),"Occupation, annual crop, NO",,8.62230041,m2a,,8.62E-17,m2a
Raw,(unspecified),"Occupation, annual crop, non-irrigated",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, non-irrigated, diverse-intensive",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, non-irrigated, extensive",,2.18002030,m2a,,2.18E-15,m2a
Raw,(unspecified),"Occupation, annual crop, non-irrigated, fallow",,2.18002030,m2a,,2.18E-15,m2a
Raw,(unspecified),"Occupation, annual crop, non-irrigated, intensive",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, non-irrigated, monotone-intensive",,2.48999165,m2a,,2.49E-15,m2a
